en,jp,idn
british,イギリス人,Inggris
brought,持ってくる,telah membawa
bullied,いじめられた,diintimidasi
burdens,負担,beban
cabinet,戸棚,kabinet
capable,有能,mampu
capital,資本,modal
ceiling,シーリング,langit-langit
celsius,摂氏,Celsius
certain,ある,yakin
chances,チャンス,peluang
chapter,章,bab
charity,慈善活動,amal
cheated,騙された,ditipu
chinese,中国人,Cina
claimed,主張した,diklaim
climate,気候,iklim
cloning,クローン作成,kloning
clothes,服,pakaian
collect,集める,mengumpulkan
college,カレッジ,kampus
comfort,快適,kenyamanan
comment,コメント,komentar
commute,通勤,bepergian
company,会社,perusahaan
complex,複雑な,kompleks
conceal,隠す,menutupi
concise,簡潔,ringkas
confess,告白する,mengakui
confirm,確認する,mengonfirmasi
confuse,混乱,bingung
conquer,征服する,menaklukkan
consult,相談する,berkonsultasi
contact,接触,kontak
content,コンテンツ,isi
control,コントロール,kontrol
correct,正しい,benar
council,評議会,Dewan
country,国,negara
courage,勇気,keberanian
crucial,重要な,penting
culture,文化,budaya
curious,好奇心旺盛,penasaran
current,現在,saat ini
customs,税関,bea cukai
decades,数十年,dekade
decided,決めた,diputuskan
decline,衰退,menolak
defects,欠陥,cacat
defense,防衛,pertahanan
deficit,赤字,defisit
degrees,度,derajat
delayed,遅延,terlambat
delight,喜び,sukacita
density,密度,kepadatan
depends,依存します,bergantung
derives,派生します,berasal
desired,望ましい,diinginkan
despise,軽蔑する,membenci
despite,にもかかわらず,meskipun
devoted,献身的な,setia
differs,異なります,berbeda
dignity,尊厳,harga diri
dioxide,二酸化物,dioksida
discuss,話し合う,membahas
disease,病気,penyakit
display,画面,menampilkan
dispute,紛争,sengketa
distant,遠い,jauh
disturb,乱す,mengganggu
divides,分割する,membagi
dragged,引きずられた,menyeret
dressed,服を着た,berpakaian
driving,運転,menyetir
dropped,落とした,menjatuhkan
drought,干ばつ,kekeringan
earnest,真剣な,sungguh-sungguh
edition,版,edisi
elderly,お年寄り,tua
element,要素,elemen
emerged,現れた,muncul
enclose,同封する,melingkupi
engaged,婚約中,bertunangan
engages,関与する,terlibat
equator,赤道,khatulistiwa
erected,建てられた,didirikan
eternal,永遠の,abadi
ethical,倫理的な,etis
example,例,contoh
excited,興奮した,bersemangat
exerted,力を発揮した,dikerahkan
existed,存在した,ada
expense,費用,pengeluaran
expires,有効期限が切れます,kedaluwarsa
explain,説明する,menjelaskan
exports,輸出,ekspor
exposed,露出,terbuka
express,急行,cepat
factors,要因,faktor
factory,工場,pabrik
failure,失敗,kegagalan
fainted,気を失った,pingsan
fatigue,倦怠感,kelelahan
federal,連邦政府,federal
feeling,フィーリング,merasa
fertile,肥沃な,subur
fiction,フィクション,fiksi
finding,見つける,temuan
flatter,もっと平らな,memuji
flunked,失敗した,gagal
follows,続く,berikut
foreign,外国,luar negeri
forests,森林,hutan
forever,永遠に,selamanya
forgive,許す,memaafkan
formula,式,rumus
fortune,運,harta benda
forward,フォワード,maju
fragile,壊れやすい,rentan
freedom,自由,kebebasan
friends,友達,teman-teman
frowned,眉をひそめた,mengerutkan kening
fulfill,満たす,memenuhi
funeral,葬儀,pemakaman
further,さらに遠く,lebih jauh
garbage,ごみ,sampah
general,一般的な,umum
genuine,本物,asli
getting,取得,mendapatkan
glimpse,垣間見る,melihat sekilas
grabbed,掴んだ,meraih
grandma,おばあちゃん,nenek
granted,付与された,diberikan
gravity,重力,gravitasi
greeted,挨拶されました,disambut
grocery,食料品,kebutuhan sehari-hari
grounds,根拠,alasan
halfway,中途半端,setengah jalan
hanging,ぶら下がっている,gantung
harmful,有害,berbahaya
harvest,収穫,memanen
haunted,取り憑かれた/うなされた,berhantu
heading,見出し,menuju
hearing,聴覚,pendengaran
heights,ハイツ,ketinggian
herself,彼女自身,diri
himself,彼自身,diri
his/her,彼/彼女,miliknya
holding,ホールディング,memegang
honesty,正直,kejujuran
hostile,敵対的な,agresif
however,しかし,Namun
hundred,百,ratus
ignored,無視されました,diabaikan
illegal,違法,liar
illness,病気,penyakit
immense,計り知れない,sangat luas
imports,輸入品,impor
impulse,衝動,impuls
initial,イニシャル,awal
insects,昆虫,serangga
instead,その代わり,alih-alih
insults,侮辱,penghinaan
intense,激しい,intens
intrude,侵入する,mengganggu
invited,招待されました,diundang
italian,イタリアの,Italia
japan,日本,Jepang
japanese,日本語,jepang
jealous,嫉妬深い,cemburu
kidding,冗談です,bercanda
killing,殺す,pembunuhan
laundry,ランドリー,cucian
leaking,漏れている,bocor
learned,学んだ,terpelajar
leather,レザー,kulit
leaving,出発する,meninggalkan
lecture,講義,kuliah
legends,伝説,legenda
liberty,自由,kebebasan
lingers,長引く,tetap hidup
located,位置した,terletak
longing,憧れ,kerinduan
looking,探している,melihat
loyalty,忠誠心,loyalitas
machine,機械,mesin
mammals,哺乳類,mamalia
married,既婚,telah menikah
massive,大規模,besar sekali
matters,問題,penting
maximum,最大,maksimum
medical,医学,medis
meeting,ミーティング,pertemuan
melting,溶融,meleleh
mention,言及,menyebutkan
methods,メソッド,metode
mineral,ミネラル,mineral
minutes,分,menit
mission,ミッション,misi
mistake,間違い,kesalahan
mixture,混合,campuran
monitor,モニター,memantau
morning,朝,Pagi
motives,動機,motif
mounted,取り付けられた,dipasang
nations,国家,bangsa
network,通信網,jaringan
neutral,中性,netral
nothing,何もない,Tidak ada apa-apa
nowhere,どこにもない,tidak kemana-mana
nuclear,核,nuklir
obliged,義務付けられた,terpaksa
obscure,あいまいな,samar
officer,役員,petugas
operate,操作する,beroperasi
opinion,意見,pendapat
opposed,反対した,menentang
orphans,孤児,anak yatim piatu
outcome,結果,hasil
outlook,見通し,pandangan
pacific,パシフィック,Pasifik
parents,両親,orang tua
passage,通路,jalan
passive,受け身,pasif
pastime,娯楽,hiburan
patriot,愛国者,patriot
pension,年金,pensiun
percent,パーセント,persen
perfect,完璧,sempurna
perfume,香水,parfum
persist,持続する,bertahan
plastic,プラスチック,plastik
playing,遊んでいる,bermain
pleaded,懇願した,memohon
plunged,落ち込んだ,jatuh
pointed,尖った,lancip
postwar,戦後,pascaperang
pouring,注ぐ,penuangan
poverty,貧困,kemiskinan
precise,正確な,tepat
premise,前提,premis
present,現在,hadiah
prevail,勝つ,bertahan
prevent,防ぐ,mencegah
privacy,プライバシー,pribadi
private,プライベート,pribadi
problem,問題,masalah
program,プログラム,program
project,プロジェクト,proyek
promise,約束,janji
protect,守る,melindungi
proverb,ことわざ,pepatah
provide,提供する,menyediakan
pulling,引っ張る,menarik
purpose,目的,tujuan
quality,品質,kualitas
quarrel,喧嘩,pertengkaran
quarter,四半期,seperempat
quickly,素早く,dengan cepat
rapidly,急速に,dengan cepat
reached,到達した,dicapai
reality,現実,realitas
realize,気づく,menyadari
reflect,反映する,mencerminkan
refrain,控える,menahan diri
refused,拒否した,ditolak
regular,通常,reguler
related,関連している,terkait
relaxed,リラックスした,santai
removed,削除されました,DIHAPUS
respect,尊重,menghormati
revenue,収益,pendapatan
revised,改訂,diperbaiki
running,ランニング,berlari
rushing,急ぐ,bergegas
scolded,叱られた,dimarahi
selfish,わがまま,egois
senator,上院議員,senator
service,サービス,melayani
several,いくつかの,beberapa
shallow,浅い,dangkal
shelter,シェルター,tempat berlindung
shouted,叫んだ,teriak
shuttle,シャトル,antar-jemput
similar,似ている,serupa
skidded,滑った,tergelincir
skipped,スキップしました,dilewati
society,社会,masyarakat
somehow,どうにか,bagaimanapun
someone,誰か,seseorang
sources,ソース,sumber
species,種,jenis
spirits,精霊,roh
staring,見つめる,menatap
starved,飢えた,kelaparan
stomach,胃,perut
strings,文字列,string
student,学生,murid
subject,主題,subjek
suggest,提案する,menyarankan
suicide,自殺,bunuh diri
summary,まとめ,ringkasan
support,サポート,mendukung
supreme,最高,tertinggi
surface,表面,permukaan
surgeon,外科医,ahli bedah
surplus,余剰,kelebihan
swelled,膨らんだ,bengkak
swiftly,素早く,dengan cepat
tabloid,タブロイド,pil
tactics,戦術,taktik
talking,話している,pembicaraan
tariffs,関税,tarif
tension,テンション,ketegangan
therapy,治療,terapi
there,そこには,di sana
thought,考え,pikiran
threats,脅威,ancaman
through,を通して,melalui
tighten,締める,mengencangkan
today,今日,Hari ini
tonight,今夜,malam ini
torture,拷問,menyiksa
touched,触れた,tersentuh
traffic,渋滞,lalu lintas
tragedy,悲劇,tragedi
tremble,震える,gemetar
trivial,つまらない,remeh
trouble,トラブル,masalah
tuition,学費,biaya pendidikan
twisted,ねじれた,memutar
typhoon,台風,topan
tyranny,圧政,kezaliman
undergo,受ける,menjalani
unusual,普通でない,tidak biasa
utility,ユーティリティ,kegunaan
utterly,全く,sama sekali
various,様々な,bermacam-macam
vending,自動販売機,penjual otomatis
venture,ベンチャー,usaha
verdict,評決,dakwaan
victims,被害者,korban
virtual,バーチャル,maya
visible,見える,bisa dilihat
volcano,火山,gunung berapi
warming,温暖化,pemanasan
weather,天気,cuaca
website,Webサイト,situs web
welcome,いらっしゃいませ,selamat datang
welfare,福祉,kesejahteraan
whether,かどうか,apakah
willing,喜んで,bersedia
without,それなし,tanpa
workers,労働者,pekerja
working,働く,bekerja
worried,心配した,khawatir
wounded,負傷した,luka
younger,若い,lebih muda
abortion,中絶,abortus
absorbed,吸収された,terserap
abstract,抽象的な,abstrak
abundant,豊富な,melimpah
academic,アカデミック,akademik
accident,事故,kecelakaan
accounts,アカウント,akun
accurate,正確な,tepat
achieved,達成,tercapai
actually,実は,Sebenarnya
addition,追加,tambahan
adequate,十分な,memadai
advances,進歩する,Rayuan
alarming,憂慮すべき,menggelisahkan
although,それでも,meskipun
amounted,金額が高い,berjumlah
analyzed,分析された,dianalisis
annoying,迷惑な,mengganggu
anything,何でも,apa pun
appetite,食欲,nafsu makan
applause,拍手,tepuk tangan
approach,アプローチ,mendekati
approved,承認された,disetujui
assemble,組み立てる,berkumpul
atlantic,大西洋の,Atlantik
attached,添付,terlampir
attitude,態度,sikap
attorney,弁護士,pengacara
audience,観客,hadirin
aviation,航空,penerbangan
bankrupt,破産,bangkrut
becoming,なる,menjadi
believes,信じています,percaya
belonged,所属していた,milik
benefits,利点,manfaat
betrayed,裏切られた,dikhianati
beverage,飲み物,minuman
blessing,祝福,anugerah
boasting,自慢する,membual
breathed,息をした,bernafas
bringing,持ってくる,membawa
buddhist,仏教徒,Buddhis
building,建物,bangunan
business,仕事,bisnis
capacity,容量,kapasitas
captured,捕らえられた,ditangkap
cartoons,漫画,kartun
catching,捕まえる,penangkapan
cautious,用心深い,waspada
chairman,会長,ketua
chatting,おしゃべり,mengobrol
childish,子供っぽい,kekanak-kanakan
children,子供たち,anak-anak
clinging,しがみついている,menempel
collapse,崩壊,runtuh
combines,組み合わせる,menggabungkan
commands,コマンド,perintah
commerce,商業,perdagangan
compared,比較した,dibandingkan
complain,不平をいう,mengeluh
complete,完了,menyelesaikan
composed,作曲された,tersusun
computer,コンピューター,komputer
concepts,概念,konsep
concrete,コンクリート,konkret
confined,閉じ込められた,terbatas
conflict,対立,konflik
congress,会議,Kongres
connects,接続します,menghubungkan
consists,からなる,terdiri
constant,絶え間ない,konstan
contains,含まれています,mengandung
contempt,軽蔑する,penghinaan
contends,争う,berpendapat
continue,続く,melanjutkan
contract,契約,kontrak
contrary,逆に,kebalikan
contrast,対比,kontras
counting,数える,perhitungan
couple,カップル,pasangan
covering,カバーリング,penutup
credited,クレジットされた,dikreditkan
critical,致命的,kritis
currency,通貨,mata uang
deadline,締め切り,tenggat waktu
deceased,故人,almarhum
deceived,騙された,ditipu
decision,決断,keputusan
declared,宣言された,dideklarasikan
delivery,配達,pengiriman
deprived,剥奪された,dirampas
deserves,値する,layak
desolate,荒涼とした,terpencil
dialects,方言,dialek
dialogue,対話,dialog
diarrhea,下痢,diare
dictator,独裁者,diktator
diligent,勤勉な,rajin
directly,直接,secara langsung
disagree,同意しない,tidak setuju
disaster,災害,bencana
discount,割引,diskon
disguise,変装,samaran
disposal,廃棄,pembuangan
domestic,国内,lokal
dominant,支配的な,dominan
downtown,ダウンタウン,pusat kota
economic,経済的な,ekonomis
election,選挙,pemilihan
eloquent,雄弁な,fasih
employer,雇用者,pemberi pekerjaan
enormous,巨大な,sangat besar
entitled,資格のある,berhak
envelope,封筒,amplop
epidemic,伝染病,epidemi
equality,平等,persamaan
estimate,見積もり,memperkirakan
everyone,みんな,setiap orang
evidence,証拠,bukti
exercise,エクササイズ,latihan
expected,期待される,mengharapkan
expenses,経費,pengeluaran
exploded,爆発した,meledak
explored,探検した,dieksplorasi
fabulous,素晴らしい,sangat menyenangkan
facility,施設,fasilitas
familiar,おなじみ,akrab
family,家族,keluarga
favorite,お気に入り,favorit
features,特徴,fitur
flexible,フレキシブル,fleksibel
forecast,予報,ramalan
freshman,新入生,mahasiswa baru
friction,摩擦,gesekan
generous,寛大,dermawan
geometry,幾何学,geometri
gigantic,巨大,raksasa
glaciers,氷河,gletser
goodwill,のれん,niat baik
graceful,優雅な,anggun
grateful,ありがたい,bersyukur
happened,起こりました,telah terjadi
headache,頭痛,sakit kepala
hesitate,ためらう,ragu-ragu
historic,歴史的な,bersejarah
homeless,ホームレス,tunawisma
hostages,人質,sandera
humanity,人類,kemanusiaan
hydrogen,水素,hidrogen
illusion,幻想,ilusi
imperial,インペリアル,imperial
implying,暗示する,menyiratkan
incident,事件,kejadian
inclined,傾いた,cenderung
increase,増加,meningkatkan
infant,幼児,bayi
inferior,劣った,lebih rendah
informed,知らされた,diberitahukan
injuries,怪我,cedera
innocent,無実の,tidak bersalah
insights,洞察,wawasan
insisted,と主張した,bersikeras
inspired,インスパイヤされた,terinspirasi
instance,実例,contoh
instinct,本能,naluri
intended,意図されました,disengaja
interest,興味,minat
internal,内部,intern
intimate,親密な,intim
invasion,侵入,invasi
involved,関与した,terlibat
isolated,孤立した,terpencil
japanese,日本語,Jepang
juvenile,少年,remaja
language,言語,bahasa
laughing,笑い,tertawa
laughter,笑い,tawa
launched,打ち上げられた,diluncurkan
linguist,言語学者,ahli bahasa
literacy,リテラシー,literasi
luxuries,贅沢品,kemewahan
maintain,維持する,menjaga
majority,過半数,mayoritas
marriage,結婚,pernikahan
meantime,その間,sementara itu
measures,対策,Pengukuran
memories,思い出,memori
military,軍隊,militer
minister,大臣,menteri
mistakes,間違い,kesalahan
moderate,適度,sedang
monarchy,君主制,kerajaan
monopoly,独占,monopoli
monument,記念碑,Monumen
multiply,かける,berkembang biak
narrowly,狭く,nyaris
national,全国,Nasional
needless,不必要な,tidak perlu
negative,ネガティブ,negatif
neglects,無視する,mengabaikan
neighbor,近所の人,tetangga
nowadays,最近では,dewasa ini
numerous,多数の,banyak sekali
obsolete,廃止,usang
obstacle,障害,rintangan
obtained,得られた,diperoleh
occasion,機会,kesempatan
occurred,発生した,muncul
official,正式,resmi
opinions,意見,pendapat
opponent,対戦相手,lawan
opposite,反対,di depan
optional,オプション,opsional
ordinary,普通,biasa
overseas,海外,luar negeri
overtime,時間とともに,lembur
packages,パッケージ,paket
patience,忍耐,kesabaran
peculiar,奇妙な,aneh
physical,物理的な,fisik
pleasant,楽しい,menyenangkan
pleasure,喜び,kesenangan
portrait,肖像画,potret
positive,ポジティブ,positif
possible,可能,mungkin
practice,練習する,praktik
precious,貴重な,berharga
predicts,予測する,memprediksi
pregnant,妊娠中,hamil
presence,面前,kehadiran
pretends,ふりをする,berpura-pura
previous,前の,sebelumnya
priority,優先度,prioritas
profound,奥深い,menonjol
progress,進捗,kemajuan
promoted,昇進,dipromosikan
property,財産,Properti
proposed,提案された,diajukan
prospect,見通し,prospek
province,州,propinsi
provoked,挑発された,terprovokasi
punctual,時間厳守,tepat waktu
purchase,購入,pembelian
pursuing,追求,mengejar
quantity,量,kuantitas
quarters,四半期,perempat
question,質問,pertanyaan
recalled,思い出した,teringat
received,受け取った,diterima
recently,最近,baru-baru ini
reckless,無謀,ceroboh
reducing,減らす,mengurangi
referred,言及,dirujuk
refugees,難民,pengungsi
rejected,拒否されました,ditolak
released,解放された,dilepaskan
relevant,関連する,relevan
remained,残った,tetap
reminded,思い出した,mengingatkan
repaired,修理された,diperbaiki
repeated,繰り返された,ulang
replaced,交換された,diganti
republic,共和国,republik
required,必須,diperlukan
research,研究,riset
resented,憤慨した,dibenci
resulted,結果として,dihasilkan
revealed,明らかにした,terungkap
romantic,ロマンチック,romantis
routines,ルーチン,rutinitas
salesman,セールスマン,penjual
scarcely,ほとんどない,hampir tidak
scissors,はさみ,gunting
screamed,叫んだ,teriak
security,安全,keamanan
selfmade,自作,buatan sendiri
sensible,賢明な,masuk akal
shortcut,ショートカット,jalan pintas
sidewalk,歩道,trotoar
socalled,いわゆる,disebut
sociable,社交的な,ramah
soldiers,兵隊,tentara
solution,解決,larutan
somebody,誰か,seseorang
sometime,いつか,beberapa waktu
somewhat,幾分,agak
soninlaw,義理の息子,menantu
speaking,話し中,berbicara
specific,特定の,spesifik
splendid,素晴らしい,bagus sekali
spoiling,台無しにする,memanjakan
standing,立っている,kedudukan
steadily,着実に,stabil
strained,緊張した,tegang
strength,強さ,kekuatan
strictly,厳密に,dengan ketat
striving,努力している,berjuang
struggle,闘争,berjuang
stubborn,頑固,keras kepala
stumbled,つまずいた,tersandung
subjects,科目,mata pelajaran
suitable,適切な,sesuai
superior,優れた,unggul
supplies,用品,persediaan
supposed,想定,diperkirakan
surprise,驚き,kejutan
survived,生き残った,selamat
sweeping,掃除する,luas
swimming,水泳,renang
sympathy,同情,simpati
symptoms,症状,gejala
terrible,ひどい,sangat buruk
terrific,素晴らしい,hebat
thorough,徹底した,menyeluruh
thriving,繁栄している,berkembang
throwing,投げ,pelemparan
tolerate,許容する,mentolerir
tollfree,無料通話,bebas pulsa
trainees,研修生,peserta pelatihan
treasure,宝物,harta karun
tropical,トロピカル,tropis
universe,宇宙,semesta
upstairs,上の階,di atas
uptodate,最新の,terkini
vanished,消えた,menghilang
vehicles,車両,kendaraan
violence,暴力,kekerasan
whenever,いつでも,kapan pun
wildlife,野生動物,margasatwa
withdrew,撤退した,menarik diri
workshop,ワークショップ,bengkel
worships,礼拝する,beribadah
yourself,あなた自身,dirimu sendiri
abandoned,放棄された,ditinggalkan
abolished,廃止された,dihapuskan
accepting,受け入れる,menerima
according,によると,menurut
acquiring,取得する,memperoleh
advantage,アドバンテージ,keuntungan
adversity,逆境,kesulitan
ambiguous,曖昧な,ambigu
ambitions,大望・野望,ambisi
ambulance,救急車,ambulans
amendment,修正,amandemen
ancestors,祖先,nenek moyang
announced,発表された,diumumkan
antarctic,南極,daerah Kutub Selatan
apartment,アパート,Apartemen
apologize,謝る,meminta maaf
appointed,任命された,ditunjuk
arrogance,傲慢,kesombongan
associate,仲間,rekan
attending,出席,menghadiri
attention,注意,Perhatian
autograph,サイン,tanda tangan
available,利用可能,tersedia
backwards,後ろ向きに,ke belakang
barometer,バロメーター,barometer
batteries,電池,baterai
bedridden,寝たきり,terbaring di tempat tidur
biologist,生物学者,ahli biologi
birthrate,出生率,angka kelahiran
bothering,面倒な,mengganggu
broadcast,放送,siaran
calculate,計算する,menghitung
candidate,候補者,calon
cathedral,大聖堂,Katedral
celebrate,祝う,merayakan
celebrity,有名人,selebriti
chemicals,化学薬品,bahan kimia
cherishes,大切にします,menghargai
childhood,子供時代,masa kecil
chuckling,くすくす笑う,tertawa kecil
classical,古典的な,klasik
collision,衝突,tabrakan
committee,委員会,komite
community,コミュニティ,masyarakat
companies,企業,perusahaan
competent,有能な,kompeten
concerned,心配している,khawatir
condemned,非難された,dikutuk
condition,状態,kondisi
conducted,実施した,diadakan
conscious,意識的な,sadar
consensus,コンセンサス,konsensus
consumers,消費者,konsumen
continent,大陸,benua
convinced,確信している,yakin
countries,国,negara
criticism,批判,kritik
customers,顧客,pelanggan
departure,出発,keberangkatan
deposited,入金された,disimpan
depressed,押し下げられた,murung
desperate,絶望的な,putus asa
destinies,運命,takdir
detective,探偵,detektif
difficult,難しい,sulit
dinosaurs,恐竜,dinosaurus
direction,方向,arah
discovery,発見,penemuan
dismissed,解雇された,dibubarkan
districts,地区,distrik
diversity,多様性,keberagaman
divorcing,離婚する,bercerai
documents,書類,dokumen
donations,寄付,sumbangan
ecologist,生態学者,ahli ekologi
education,教育,pendidikan
efficient,効率的,efisien
embracing,抱きしめる,merangkul
emergency,緊急,keadaan darurat
emissions,排出量,emisi
emotional,感情的,emosional
emphasize,強調する,menekankan
employees,従業員,karyawan
endeavors,努力する,usaha
enhancing,強化する,meningkatkan
equipment,装置,peralatan
essential,不可欠,penting
everybody,みんな,semua orang
evolution,進化,evolusi
examining,検査する,memeriksa
excellent,素晴らしい,bagus sekali
excessive,過剰な,berlebihan
exchanged,交換された,ditukar
exclaimed,叫んだ,seru
exclusive,エクスクルーシブ,eksklusif
excursion,遠足,tamasya
exhausted,疲れ果てた,lelah
expresses,表現します,mengungkapkan
extremely,非常に,sangat
financial,金融,keuangan
fireworks,花火,kembang api
firsthand,直接,secara langsung
flammable,可燃性,mudah terbakar
following,続く,mengikuti
forbidden,禁断,terlarang
fragments,断片,pecahan
functions,機能,fungsi
furniture,家具,mebel
generally,一般的に,umumnya
gradually,徐々に,perlahan-lahan
graduated,卒業した,lulus
hardships,困難,kesulitan
hazardous,危険な,berbahaya
household,家庭,rumah tangga
hypocrisy,偽善,kemunafikan
imitating,真似する,meniru
impressed,感動した,terkesan
including,含む,termasuk
indicates,を示します,menunjukkan
infection,感染,infeksi
influence,影響,pengaruh
ingenious,独創的な,berbakat
inherited,遺伝性の,diwariskan
injection,注射,injeksi
inquiries,お問い合わせ,pertanyaan
inspected,検査された,diperiksa
institute,研究所,lembaga
insurance,保険,Pertanggungan
integrity,誠実さ,integritas
interrupt,割り込み,mengganggu
intervals,間隔,interval
interview,インタビュー,wawancara
invention,発明,penemuan
investing,投資,berinvestasi
irritated,イライラしている,kesal
justifies,正当化する,membenarkan
knowledge,知識,pengetahuan
leftovers,残り物,sisa
literally,文字通り,secara harfiah
littering,ポイ捨て,membuang sampah sembarangan
machinery,機械,mesin
marvelous,素晴らしい,menakjubkan
materials,材料,bahan
mechanics,力学,mekanika
microwave,電子レンジ,gelombang mikro
miserable,惨めな,menderita
mortality,死亡,kematian
municipal,市営,kota
necessity,必要性,kebutuhan
nightmare,悪夢,mimpi buruk
notorious,悪名高い,terkenal
nutrition,栄養,nutrisi
objective,客観的,objektif
observing,観察する,mengamati
obstinate,頑固な,keras kepala
obviously,明らかに,jelas sekali
occupying,占領している,menempati
offensive,攻撃,menyinggung
otherwise,さもないと,jika tidak
paralyzed,麻痺した,lumpuh
particles,粒子,partikel
peninsula,半島,semenanjung
perceived,認識された,dirasakan
permanent,永続,permanen
personnel,人員,personil
persuaded,説得された,dibujuk
petroleum,石油,minyak bumi
phenomena,現象,fenomena
physician,医師,dokter
polishing,研磨,pemolesan
pollution,汚染,polusi
position;,位置;,posisi;
possesses,持っている,dimiliki
postponed,延期した,ditunda
potential,潜在的,potensi
practical,実用的,praktis
prejudice,偏見,prasangka
preparing,準備,mempersiapkan
president,社長,Presiden
priceless,貴重な,sangat berharga
primarily,主に,terutama
primitive,原生的,primitif
principal,主要,kepala sekolah
proceeded,進みました,melanjutkan
prochoice,プロチョイス,pilihan pro
prolonged,長くなった,berkepanjangan
prominent,目立つ,menonjol
promising,有望な,menjanjikan
protested,抗議した,memprotes
published,出版された,diterbitkan
radiation,放射線,radiasi
realities,現実,kenyataan
recession,不況,resesi
reconcile,和解する,mendamaikan
regarding,に関して,tentang
regretted,後悔した,menyesal
relations,関係,hubungan
relatives,親族,kerabat
religions,宗教,agama
reluctant,気が進まない,enggan
reporters,記者,wartawan
resembles,似てる,menyerupai
residents,住民,penduduk
resorting,頼る,menggunakan
resources,リソース,sumber daya
roundtrip,往復,perjalanan pulang pergi
sanctions,制裁,sanksi
satellite,衛星,satelit
satisfied,満足,puas
scattered,散らばっている,berserakan
scratches,傷,goresan
searching,探しています,mencari
secretary,秘書,sekretaris
sensitive,センシティブ,peka
sentenced,宣告された,dihukum
seriously,真剣に,dengan serius
shattered,粉々になった,hancur
shuffling,シャッフリング,menyeret
sincerely,心から,sungguh-sungguh
situation,状況,situasi
something,何か,sesuatu
spreading,広がる,menyebar
stabilize,安定させる,menstabilkan
standards,標準,standar
strolling,散策,berjalan-jalan
structure,構造,struktur
substance,物質,zat
succeeded,成功しました,berhasil
surrender,降伏,menyerah
suspect,容疑者,mengira
suspected,疑わしい,tersangka
suspended,一時停止中,tergantung
teenagers,ティーンエイジャー,remaja
temporary,一時的,sementara
territory,地域,wilayah
terrorism,テロ,terorisme
testimony,証言,kesaksian
thousands,何千もの,ribuan
threefold,三重,tiga kali lipat
twothirds,3分の2,dua pertiga
uncertain,不確かな,tidak pasti
undertake,引き受ける,melakukan
viewpoint,観点,sudut pandang
violation,違反,pelanggaran
warehouse,倉庫,gudang
wellknown,よく知られている,terkenal
whispered,ささやきました,berbisik
witnessed,目撃した,disaksikan
worldwide,世界的に,di seluruh dunia
yesterday,昨日,Kemarin
absolutely,絶対に,sangat
accelerate,加速する,mempercepat
aggressive,攻撃的,agresif
altogether,まったく,sama sekali
ambassador,大使,duta besar
apparently,どうやら,tampaknya
appliances,家電製品,peralatan
appreciate,感謝する,menghargai
artificial,人工的な,palsu
assignment,割り当て,penugasan
astonished,驚いた,heran
astronauts,宇宙飛行士,astronot
atmosphere,雰囲気,suasana
attempting,試みています,mencoba
attractive,魅力的,menarik
attributed,起因する,diatribusikan
auditorium,講堂,auditorium
background,背景,latar belakang
beforehand,予め,sebelumnya
classified,機密扱い,rahasia
colleagues,同僚,rekan kerja
comprehend,理解する,memahami
compromise,妥協,kompromi
compulsory,義務,wajib
conclusion,結論,kesimpulan
conference,会議,konferensi
conformity,適合性,kesesuaian
confronted,直面した,dihadapkan
conscience,良心,hati nurani
considered,考慮された,dipertimbangkan
contradict,矛盾する,bertentangan
convenient,便利,nyaman
cooperated,協力した,bekerja sama
correspond,対応する,sesuai
corruption,腐敗,korupsi
decreasing,減少する,menurun
department,部門,departemen
determined,決定した,bertekad
developing,現像,mengembangkan
difference,違い,perbedaan
difficulty,困難,kesulitan
diplomatic,外交的な,diplomatik
discipline,規律,disiplin
disgusting,おぞましい,menjijikkan
earthquake,地震,gempa bumi
eliminates,排除する,menghilangkan
encouraged,奨励した,didorong
endangered,絶滅危惧種,terancam bahaya
especially,特に,khususnya
eventually,最終的に,pada akhirnya
everything,すべて,semuanya
exaggerate,誇張する,berlebihan
executives,エグゼクティブ,eksekutif
exhibition,展示,pameran
expedition,遠征,ekspedisi
experience,経験,pengalaman
exploiting,搾取する,mengeksploitasi
extinction,絶滅,kepunahan
fiftyfifty,半分半分,lima puluh lima puluh
flashlight,懐中電灯,senter
frequently,頻繁に,sering
frightened,恐ろしかった,takut
generation,世代,generasi
government,政府,pemerintah
guaranteed,保証されています,terjamin
hypothesis,仮説,hipotesa
identified,特定された,diidentifikasi
immigrants,移民,imigran
importance,重要性,pentingnya
incredible,信じられない,menakjubkan
indecisive,優柔不断な,ragu
individual,個人,individu
industries,産業,industri
inevitable,避けられない,tidak bisa dihindari
infinitely,無限に,tanpa batas
innovation,革新,inovasi
instrument,楽器,instrumen
integrated,統合された,terintegrasi
interested,興味がある,tertarik
interfered,干渉された,ikut campur
interstate,州間高速道路,antar negara bagian
introduced,紹介された,diperkenalkan
ironically,皮肉なことに,ironisnya
irrational,不合理な,irasional
kidnapping,誘拐,penculikan
likelihood,可能性,kemungkinan
literature,文学,literatur
manuscript,原稿,naskah
meditation,瞑想,meditasi
metropolis,大都市,metropolis
microscope,顕微鏡,mikroskop
minorities,少数派,minoritas
mosquitoes,蚊,nyamuk
oppression,抑圧,penindasan
optimistic,楽観的,optimis
overcoming,克服する,mengatasi
overlooked,見落とされた,diabaikan
parliament,議会,parlemen
